ang (deg),IA (A),IB (A),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb)
0,-10,-10,-0.047289919153219555,0.029438263195794283,0.0238866807209624
0,-10,-9,-0.04728741887303584,0.029921599830989184,0.02339084436026271
0,-10,-8,-0.047285018153520444,0.030403402246946983,0.0228904633052001
0,-10,-7,-0.04728262040723231,0.030882030092564794,0.022381692259048496
0,-10,-6,-0.04728017023122708,0.03135501073865392,0.021868060588504202
0,-10,-5,-0.04727759126971297,0.031825330682099404,0.0213452673803353
0,-10,-4,-0.047274411087222114,0.03229373894052076,0.020811836016753595
0,-10,-3,-0.04727143190190133,0.03274836895508968,0.020274980110331374
0,-10,-2,-0.04726911815580284,0.03318665349221103,0.019732744075665304
0,-10,-1,-0.047267629149162556,0.033615755890338515,0.019167075721604865
0,-10,0,-0.04726571518478012,0.034043667596377496,0.01859441857436383
0,-10,1,-0.04726350754826122,0.034466703034417866,0.01801795154669867
0,-10,2,-0.04726011321271026,0.0348717194805537,0.017439802137539092
0,-10,3,-0.04725609933526147,0.03526513240141418,0.016859403184401715
0,-10,4,-0.047250396560467055,0.03565410892512825,0.016276811781017055
0,-10,5,-0.04724422978459008,0.03604168505817016,0.015692561073286686
0,-10,6,-0.04723783201776464,0.03642955540804737,0.015107125486726877
0,-10,7,-0.047230719043049575,0.03681100378071814,0.014521665915966554
0,-10,8,-0.0472221600720869,0.037177221253218366,0.013937292495217494
0,-10,9,-0.04721327901041838,0.03752913894997127,0.013353757727068597
0,-10,10,-0.04720251261853238,0.03787500131897908,0.012768790865621712
0,-9,-10,-0.047085632992859686,0.029470381519892765,0.023420198349336823
0,-9,-9,-0.047083413048144146,0.0299532321371368,0.022919710095276873
0,-9,-8,-0.04708091522355851,0.030436077110764084,0.022410624590433362
0,-9,-7,-0.04707795378223139,0.030914679836361616,0.02189641113475397
0,-9,-6,-0.04707452023381064,0.03138781698035409,0.02137449287796019
0,-9,-5,-0.0470717021563413,0.031857512895437846,0.02084227917189285
0,-9,-4,-0.04706917320685976,0.03232662601985166,0.020304883462752374
0,-9,-3,-0.047065675687863656,0.03278018289103257,0.019761114559424225
0,-9,-2,-0.04706374427090892,0.0332159972505245,0.019194600439219087
0,-9,-1,-0.04706010867428216,0.03364507316152852,0.018620984878930474
0,-9,0,-0.04705503626446997,0.034073366787248566,0.01804334451455657
0,-9,1,-0.047050189464008615,0.03449622361157154,0.017464373164916506
0,-9,2,-0.04704418999149544,0.03490071932749425,0.016883033482394654
0,-9,3,-0.047037606975297554,0.035294400333523004,0.016299757815111986
0,-9,4,-0.04703102097658004,0.03568358651291625,0.015715582467656107
0,-9,5,-0.04702446186471021,0.03607113394982585,0.015130281248105677
0,-9,6,-0.04701788359296569,0.036458194346207964,0.014544653969356839
0,-9,7,-0.047011871716846086,0.036840843876213426,0.013959259571684401
0,-9,8,-0.04700460094680242,0.03720736494312418,0.013375236268257939
0,-9,9,-0.046996704916524246,0.037560106313222714,0.012789760495034098
0,-9,10,-0.046987132418526714,0.03790728945687987,0.012203609920718766
0,-8,-10,-0.04687586661118278,0.029501888530912967,0.022948652200297345
0,-8,-9,-0.04687263058992105,0.029984415803550067,0.02243930405537851
0,-8,-8,-0.046869558407261265,0.030467672938834445,0.021925256892519306
0,-8,-7,-0.046866124649687244,0.0309473228080962,0.02140490926193245
0,-8,-6,-0.046863242870354815,0.03141956634030684,0.02086983417792173
0,-8,-5,-0.046859993563707784,0.03188943874719051,0.02033325600124558
0,-8,-4,-0.04685537684594265,0.03235769420124232,0.019788577734802658
0,-8,-3,-0.04685052716824107,0.03281013568166342,0.019220393389636138
0,-8,-2,-0.04684545295096464,0.03324572877814656,0.018645745376032086
0,-8,-1,-0.04684016626442083,0.03367518557917303,0.018068224994349662
0,-8,0,-0.046833527649295326,0.03410351031829609,0.017488137507520044
0,-8,1,-0.04682618666172196,0.034526156088742904,0.01690572679604981
0,-8,2,-0.04681907874924593,0.03493018435028017,0.016322411036347347
0,-8,3,-0.04681215101209658,0.03532366925732265,0.015738375108594427
0,-8,4,-0.04680469830549384,0.035713012050710154,0.01515298922525446
0,-8,5,-0.046797653983399155,0.03610047455220757,0.01456720828678432
0,-8,6,-0.0467912528339012,0.036487411625776525,0.013981661713689374
0,-8,7,-0.046785297072519355,0.03687002446200513,0.013397026030275263
0,-8,8,-0.04677766490476964,0.0372360513216118,0.012811006209442782
0,-8,9,-0.04676917551339169,0.03758898225570772,0.01222441223299392
0,-8,10,-0.04676081515064906,0.03793794685305177,0.011637735073520348
0,-7,-10,-0.04665081126722898,0.029532580222041124,0.022466617620062048
