IB (A),IA (A),ang (deg),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb)
-1,-3,0,-0.045609983996989366,0.03382287870985686,0.015261392977374645
0,-3,0,-0.045602081895896845,0.034251740747798506,0.014675155924190997
1,-3,0,-0.0455933795344454,0.034674177719678574,0.014088578357042296
2,-3,0,-0.04558449426281093,0.03507656873780297,0.013501245124841365
3,-3,0,-0.045574832320998813,0.0354699480532221,0.012912229868264794
4,-3,0,-0.04556439119814484,0.035858848941159156,0.012322986405217137
5,-3,0,-0.04555274028820837,0.03624648894197431,0.011732463550599153
6,-3,0,-0.04553889784093833,0.03663310105906738,0.011140602064097043
7,-3,0,-0.04552437276024801,0.03701258570469655,0.010549747400912406
8,-3,0,-0.04550982964019548,0.03737745616239228,0.009960739226511861
9,-3,0,-0.04549538715663664,0.037732491324860874,0.009372064873437572
10,-3,0,-0.0454809353113843,0.0380832512610796,0.008783321960790617
-10,-2,0,-0.04542333408527721,0.029686778166401515,0.019932143856013232
-9,-2,0,-0.04541713599044722,0.030168196347531675,0.019359387607600587
-8,-2,0,-0.04541076950079478,0.03064993039199464,0.018781878696681957
-7,-2,0,-0.04540435040248928,0.031127538069169625,0.018203494599084647
-6,-2,0,-0.0453972171977148,0.031599615101283084,0.017621729612662687
-5,-2,0,-0.04539011327366992,0.03206943725239681,0.017038174003149803
-4,-2,0,-0.04538217187157303,0.032536624295495635,0.016453262747879303
-3,-2,0,-0.045374127494098596,0.0329862514516876,0.01586814405394069
-2,-2,0,-0.04536608074472097,0.03342148207552628,0.015282826297060103
-1,-2,0,-0.04535816488827531,0.033852623611207264,0.014696601136657333
0,-2,0,-0.04534863958949804,0.03428160685211405,0.014109172312800011
1,-2,0,-0.04533883193572007,0.03470391106001627,0.013521282891483171
2,-2,0,-0.04532815528841676,0.035106089547701544,0.012931511021865554
3,-2,0,-0.045316005554219475,0.03549967761665516,0.012341031498209086
4,-2,0,-0.045302146323302483,0.03588944576025114,0.011749307293511951
5,-2,0,-0.04528746871757249,0.036277695721984124,0.011156441954515301
6,-2,0,-0.045273042790086204,0.0366633496781996,0.010565347099920288
7,-2,0,-0.045258376542173656,0.03704245563485751,0.00997626390854259
8,-2,0,-0.045243854892921154,0.03740709435384492,0.009387129454154335
9,-2,0,-0.04522943688201267,0.037761878579208506,0.00879806436314214
10,-2,0,-0.04521498590968416,0.038112035892496746,0.00820913536738909
-10,-1,0,-0.04516981724907575,0.02971362766138652,0.01938148769875294
-9,-1,0,-0.04516367128331039,0.030196667471601314,0.01880408583987016
-8,-1,0,-0.04515696394841821,0.030679038573111026,0.018224880068808326
-7,-1,0,-0.04514996367346263,0.031156193577208113,0.01764359550410574
-6,-1,0,-0.045143200336694105,0.031628743178563484,0.017059758698502278
-5,-1,0,-0.045135527089878946,0.032098724857652826,0.016475097176450387
-4,-1,0,-0.04512743567314709,0.032565953939915765,0.015889350297040264
-3,-1,0,-0.045118580302214065,0.03301537069538562,0.01530329684060778
-2,-1,0,-0.04511009131514161,0.033451268894285,0.014716770562647176
-1,-1,0,-0.045100341211777834,0.0338818671306719,0.014129208881593877
0,-1,0,-0.04508838354152663,0.03431170316256776,0.01354038805657263
1,-1,0,-0.0450761352969582,0.03473393758353418,0.01294974913461646
2,-1,0,-0.0450628738007816,0.035137216058236144,0.012357820904244164
3,-1,0,-0.04504849297914717,0.035530754970938716,0.011765563062577923
4,-1,0,-0.04503396314284407,0.03592022592570287,0.011173114321038475
5,-1,0,-0.04501973771787482,0.03630849777933106,0.010580670120479892
6,-1,0,-0.045004887053860076,0.03669343805880907,0.0099915884674031
7,-1,0,-0.044990062810624405,0.037072305804774906,0.009402114932014
8,-1,0,-0.044975384773856056,0.03743631202925158,0.008812793213611706
9,-1,0,-0.044960609468304505,0.037791194602786425,0.008223466182335366
10,-1,0,-0.04494547216813262,0.03814073689128213,0.007634279041198479
-10,0,0,-0.04491245123061696,0.0297409383749663,0.018825952837281962
-9,0,0,-0.04490699552640912,0.030225526091654485,0.018246569642911162
-8,0,0,-0.04490067146639326,0.03070684438011715,0.01766525094410552
-7,0,0,-0.04489319050215268,0.03118486072470257,0.017081345437411116
-6,0,0,-0.044885503573273804,0.03165786842968443,0.016496428861776845
-5,0,0,-0.044877255611871766,0.03212788623525441,0.01591018379769092
-4,0,0,-0.044868915108292495,0.03259514160599481,0.015323931209818467
-3,0,0,-0.044858132686011784,0.03304510349025947,0.014736317533005657
-2,0,0,-0.0448472266875641,0.03348143124326674,0.014148230738157155
-1,0,0,-0.044834126362400924,0.03391207784009058,0.013558589527146699
0,0,0,-0.044820724054666194,0.03434262914202833,0.012966913062378613
1,0,0,-0.04480647260194363,0.034764644711874876,0.012374568860592156
2,0,0,-0.04479249601171494,0.035167002079693095,0.011782265506234046
3,0,0,-0.04477843224716267,0.03556097283226743,0.011189630593541685
4,0,0,-0.04476455167859779,0.0359510808349537,0.010596795223502879
5,0,0,-0.0447495406061567,0.03633790022895251,0.010006849877271582
6,0,0,-0.04473479213622059,0.03672342781807123,0.009416943144246997
7,0,0,-0.04471988540912896,0.03710194787685424,0.008827298435007019
8,0,0,-0.04470427583557194,0.03746587989390894,0.008237710280573662
9,0,0,-0.044688321853615626,0.03782066009150443,0.0076472470140348395
10,0,0,-0.044671674310634686,0.038169733567947735,0.007058340360933864
-10,1,0,-0.04465315110099312,0.02976792384274939,0.018268467605228527
-9,1,0,-0.04464761074293382,0.030252088571293176,0.01768637251253973
-8,1,0,-0.04464132661938932,0.030735134520807998,0.01710257650666627
-7,1,0,-0.0446342633475935,0.031214216948816147,0.016517630226763093
-6,1,0,-0.04462520335741141,0.0316871730215833,0.015930800363211307
-5,1,0,-0.0446152131357653,0.03215828908632132,0.015343305913780718
-4,1,0,-0.04460267868342725,0.032625112422198545,0.014754930269969388
-3,1,0,-0.04459121558697134,0.03307539309126195,0.01416642463644908
-2,1,0,-0.04458033577814365,0.033511851189189173,0.013576311406452593
-1,1,0,-0.04456410169051993,0.03394293042180446,0.012983960668077842
0,1,0,-0.04454990128290705,0.03437364440150833,0.012391365285094342
1,1,0,-0.044535398709154066,0.03479558291777017,0.011798687928234238
2,1,0,-0.044521166590401055,0.03519753926087407,0.011205268808322528
3,1,0,-0.04450691811581376,0.03559172054708949,0.010611688232021061
4,1,0,-0.04449243468308683,0.035981134286032494,0.010022167661708952
5,1,0,-0.04447770521077285,0.03636759306751783,0.009431807627339424
6,1,0,-0.04446221484217273,0.03675314719716288,0.008841553419266499
7,1,0,-0.04444641584855373,0.0371317518984807,0.008251216600825456
8,1,0,-0.04442974434136575,0.03749584645143602,0.007660343663489485
9,1,0,-0.044411803853719664,0.03785031080224993,0.007070222237434328
10,1,0,-0.044391959815966886,0.03819945419835103,0.006480791205984869
-10,2,0,-0.04439086610240924,0.02979518591084943,0.017707482845526003
-9,2,0,-0.044386014587305664,0.03028291369613045,0.01712323373878375
-8,2,0,-0.04437473299515118,0.03076288968516325,0.016537645691211963
-7,2,0,-0.04436535909388184,0.03124279298737648,0.015949803463996142
-6,2,0,-0.04435612166328017,0.03171774080786906,0.015361842811833882
-5,2,0,-0.044343696292549035,0.032187584968350724,0.014773495231080652
-4,2,0,-0.04433088873237619,0.03265540035310355,0.014183802749590382
-3,2,0,-0.04432045314774909,0.03310628236462338,0.013592833318843681
-2,2,0,-0.04430405709527226,0.03354163431695558,0.013000721346038902
-1,2,0,-0.04429018967397542,0.033973778628378234,0.012407988480485563
0,2,0,-0.04427595242319603,0.03440473749328209,0.011815180243565865
1,2,0,-0.04426146987153667,0.034826316819179755,0.011221892263185491
2,2,0,-0.04424778517190851,0.035227936636136443,0.01062899945625561
3,2,0,-0.04423382592940278,0.035622072942350494,0.01003771457083748
4,2,0,-0.04421849811815794,0.03601137443400817,0.009446361757061381
5,2,0,-0.044200770577158356,0.03639751101287797,0.008855396211954226
6,2,0,-0.044183747892604944,0.036783222018345885,0.008264457209230355
7,2,0,-0.04416553030752598,0.037162117586657765,0.007672913176503554
8,2,0,-0.04414542003112774,0.03752642333875054,0.007080762278838012
9,2,0,-0.044124469854502434,0.03788083523676505,0.0064902258866609995
10,2,0,-0.04410313647083675,0.03822997720081166,0.005900971956951015
-10,3,0,-0.04411687514209713,0.02982208618783969,0.01714226336027968
-9,3,0,-0.04410842148683754,0.03030766949752249,0.016556406298591318
-8,3,0,-0.044098735839726656,0.03079080690913974,0.01596870974310196
-7,3,0,-0.044089175838231735,0.03127119268324038,0.015380350344699926
-6,3,0,-0.044078578307244494,0.03174591417356597,0.014791004392713058
-5,3,0,-0.044066738225527174,0.03221765475367355,0.014201020592248266
-4,3,0,-0.0440550643097885,0.032686249088363054,0.013609672214614149
-3,3,0,-0.044042456787688984,0.0331364206748352,0.013017431544871642
-2,3,0,-0.04402699657708221,0.033571818659927005,0.012424608320640164
-1,3,0,-0.04401336259093563,0.03400423567724479,0.011831651722304154
0,3,0,-0.04399896479345083,0.03443572635674662,0.01123799191401742
1,3,0,-0.04398628088219981,0.034857662950745105,0.010644667231413022
2,3,0,-0.043970794934398184,0.035258564721286266,0.010052864231980888
3,3,0,-0.04395451948971459,0.03565262009919989,0.009460571204112722
4,3,0,-0.04393590155174107,0.036041664988254896,0.008868376203679218
5,3,0,-0.043917058112526344,0.03642801466453877,0.008276704757764233
6,3,0,-0.043896410650091665,0.0368143408470303,0.0076840150007578606
7,3,0,-0.04387532505306093,0.03719366116227777,0.007091083957824262
8,3,0,-0.04385413740654363,0.03755738655960426,0.006499566366473275
9,3,0,-0.043832983772993044,0.037911162756770596,0.005910117945460219
10,3,0,-0.04381174285942526,0.038260357183824305,0.005320924671588583
-10,4,0,-0.04383493076715696,0.029849779907009714,0.016574659242105598
-9,4,0,-0.04382317376151802,0.03033385793479413,0.015986857797350467
-8,4,0,-0.04381494484089041,0.030820861803555276,0.015397889197456258
-7,4,0,-0.04380186146993266,0.03129898165776309,0.014808143421441924
-6,4,0,-0.043791051241736365,0.03177396984531244,0.014217864252347693
-5,4,0,-0.04378090370383188,0.032247350660913006,0.013626072325787216
-4,4,0,-0.04376991856270589,0.03271559384659882,0.013033838136987453
-3,4,0,-0.04375775437888976,0.033166265776255005,0.012440822779152077
-2,4,0,-0.04374024293578543,0.033601786928805014,0.011847504935238925
-1,4,0,-0.04372585751163091,0.0340342668004779,0.0112538432483809
0,4,0,-0.043710611353376116,0.03446636140949444,0.010659555937591082
1,4,0,-0.04369807895361527,0.03488781303692533,0.01006722652528317
2,4,0,-0.0436810289005439,0.03528941187870068,0.00947411856305137
3,4,0,-0.043658781082070504,0.0356832143850887,0.008880383488192915
4,4,0,-0.043638289091980254,0.036071944658099736,0.008287499724859064
5,4,0,-0.04361738063335979,0.03645907276261511,0.007694347079257513
6,4,0,-0.04359670110173569,0.03684583951627548,0.007101302660199106
7,4,0,-0.0435752990327907,0.03722502843169616,0.006509120772955215
8,4,0,-0.04355372693783708,0.03758784758244455,0.005919036795345701
9,4,0,-0.04353214065103407,0.03794134601693204,0.005329447442639683
10,4,0,-0.04351037713391695,0.03829045323149698,0.00474091316382638
-10,5,0,-0.043539920332562765,0.029875945848631666,0.01600404609348471
-9,5,0,-0.0435289883570523,0.03036169454368873,0.015414799415460645
-8,5,0,-0.043517916332126816,0.030846537687997475,0.014824957452378346
-7,5,0,-0.04350671397821071,0.03132678078178681,0.014234470671220483
-6,5,0,-0.043495315718317135,0.03180175241495652,0.01364234206964198
-5,5,0,-0.04348348896494058,0.03227513100744281,0.013049694676942041
-4,5,0,-0.043471453555372026,0.03274367834971691,0.012456496973534334
-3,5,0,-0.04345858082463436,0.033194104324167154,0.011862923765981238
-2,5,0,-0.04344452023794927,0.03363156685542333,0.011268831235333664
-1,5,0,-0.04342929841759126,0.03406458150887617,0.010674248586872688
0,5,0,-0.0434119487015224,0.03449694371577654,0.010080457442434018
1,5,0,-0.04339387125851412,0.034918685669973935,0.0094864015499384
2,5,0,-0.04337318008199847,0.03532050137399236,0.008891695561897802
3,5,0,-0.04335270880583568,0.035714225444976315,0.008297759441677963
4,5,0,-0.043331993840823056,0.03610288552346449,0.007704492212008698
5,5,0,-0.04331099940273184,0.036490036144067185,0.007111437312357389
6,5,0,-0.04328975568927088,0.03687703080411958,0.006518852517562666
7,5,0,-0.04326832851916721,0.03725604645211597,0.00592796169579689
8,5,0,-0.04324670899756726,0.03761793993121051,0.005337874514880819
9,5,0,-0.043224928805783144,0.03797154777225859,0.00475003936232338
10,5,0,-0.043202970378155965,0.038320650815606365,0.004160324761016669
-10,6,0,-0.04324412275369277,0.029903727429595788,0.015431629524964331
-9,6,0,-0.043232889426310636,0.03038950152410102,0.014841630034226928
-8,6,0,-0.043221303404915465,0.030874563255266066,0.014250901847991474
-7,6,0,-0.04321014639661921,0.03135690593752658,0.01365830247819947
-6,6,0,-0.043197789345318545,0.03182919560042005,0.01306602978326299
-5,6,0,-0.04318562365423029,0.0323026984268486,0.01247212187081883
-4,6,0,-0.043172859215027906,0.032771932535315754,0.011878235141681208
-3,6,0,-0.04315943647834752,0.03322296681818549,0.011283390115311584
-2,6,0,-0.043142838696171706,0.03366110827341776,0.010687618954903824
-1,6,0,-0.04312536489040605,0.0340950928633682,0.010093017812903097
0,6,0,-0.04310596308713008,0.034528364982041364,0.009497755662540805
1,6,0,-0.04308602591745348,0.03494968874149137,0.008902611751133282
2,6,0,-0.043065479302395834,0.03535183578360171,0.008308258623995908
3,6,0,-0.04304478210134838,0.035745063525738384,0.0077145208588584886
4,6,0,-0.04302389247204208,0.03613358212481415,0.007121280793538672
5,6,0,-0.043003027410422216,0.03652108329442253,0.006528725813588047
6,6,0,-0.04298208278111954,0.03690801465116699,0.005937478311929186
7,6,0,-0.042960914801702506,0.037287774042316355,0.005346464858413984
8,6,0,-0.04293868564997713,0.03764818052780238,0.004757295009563738
9,6,0,-0.04291542341440751,0.038001620996807345,0.0041679259556929174
10,6,0,-0.04289222100030134,0.03835072341976145,0.003579424517470674
-10,7,0,-0.04294680399028951,0.029931584363039034,0.014858035091999741
-9,7,0,-0.04293563009267368,0.030418332332164098,0.014267104556457598
-8,7,0,-0.042923042828899215,0.03090258204355504,0.013674243241022477
-7,7,0,-0.04291070643351682,0.031382384856387835,0.013081682752107734
-6,7,0,-0.042898227889520475,0.03185776681536638,0.012487593034908054
-5,7,0,-0.04288305507216531,0.03233105120923779,0.011892525125565547
-4,7,0,-0.04286753541451076,0.032800604336244765,0.01129659563455012
-3,7,0,-0.042851316914977136,0.03325190546528928,0.010700242059731498
-2,7,0,-0.04283385145677267,0.03369088609953738,0.010104731684129549
-1,7,0,-0.042815320673139666,0.03412535276279181,0.00950922771458618
0,7,0,-0.04279700962797413,0.03455884777540601,0.008913786781379595
1,7,0,-0.042777045476392495,0.0349807343711582,0.00831915315572371
2,7,0,-0.042756922678483335,0.03538307176016675,0.007724760776600887
3,7,0,-0.0427362233967545,0.03577578153165354,0.0071310957596397925
4,7,0,-0.04271540822419123,0.036164257973598485,0.006538532809911798
5,7,0,-0.04269404009881918,0.036551910664776525,0.005947519967250792
6,7,0,-0.04267241159043554,0.03693903000029953,0.005354954178651208
7,7,0,-0.042650097762740966,0.03731687768234945,0.00476461210850381
8,7,0,-0.04262705000796646,0.03767859359431764,0.004173907947124285
9,7,0,-0.04260346504292732,0.03803213127163077,0.0035859026388727266
10,7,0,-0.04257974788206937,0.038380677633362226,0.003000965151949003
-10,8,0,-0.0426474516647851,0.029959706641208318,0.01428288434225064
-9,8,0,-0.04263508345020022,0.030445428973051865,0.013690016720577517
-8,8,0,-0.042621329712225396,0.03093090425366028,0.013096521366686814
-7,8,0,-0.04260585156424163,0.03141090556427569,0.012501420693048881
-6,8,0,-0.04259015444808881,0.03188608368751343,0.011905934289328126
-5,8,0,-0.04257412474124936,0.03236003626451604,0.011309449865969032
-4,8,0,-0.04255710437929164,0.032829643796169976,0.010712315124567535
-3,8,0,-0.042539855761817735,0.033280917780716866,0.01011617326685387
-2,8,0,-0.042522334619570924,0.033720303256707204,0.009520859844131525
-1,8,0,-0.04250431867373545,0.03415537865103645,0.008924945606762966
0,8,0,-0.04248698930865258,0.034588859448053635,0.008330337748614433
1,8,0,-0.04246713527789439,0.03501180449216818,0.007735193561511541
2,8,0,-0.04244698220096751,0.03541360788749029,0.007139071768290005
3,8,0,-0.04242642543316414,0.03580629099642158,0.0065478321369922005
4,8,0,-0.04240516529579181,0.03619519205071764,0.005955036047456304
5,8,0,-0.04238299982417795,0.03658283840979323,0.005362715919797219
